"SampleName","MDS1","MDS2","var.explained.1","var.explained.2"
"MCL1.DG",-2.76484710760441,1.09276835632472,0.654935905624384,0.173738305848381
"MCL1.DH",-2.81071826160131,0.969305174718437,0.654935905624384,0.173738305848381
"MCL1.DI",-2.86594428543701,-0.440646759442896,0.654935905624384,0.173738305848381
"MCL1.DJ",-3.11893487070647,-0.476656214993361,0.654935905624384,0.173738305848381
"MCL1.DK",-3.33374567604166,-1.00933958445043,0.654935905624384,0.173738305848381
"MCL1.DL",-3.30383079416009,-1.01539803786936,0.654935905624384,0.173738305848381
"MCL1.LA",2.42433985225228,2.91488344561641,0.654935905624384,0.173738305848381
"MCL1.LB",2.24915056545287,2.81391299245264,0.654935905624384,0.173738305848381
"MCL1.LC",3.1319401972639,-0.293011144505375,0.654935905624384,0.173738305848381
"MCL1.LD",3.20420789311798,-0.42886414848436,0.654935905624384,0.173738305848381
"MCL1.LE",3.65881747137908,-2.01697085874643,0.654935905624384,0.173738305848381
"MCL1.LF",3.52956501608484,-2.10998322062,0.654935905624384,0.173738305848381
